fold,n_valid,gamma,lambda_,SSE,RMSE
3,102,0.0625,0.001,116.28162892122101,0.29613094424541997
3,102,0.0625,0.01,159.22152199883035,0.34652065247743374
3,102,0.0625,0.1,193.13802530716885,0.38164724469987354
3,102,0.0625,1.0,343.70038373026927,0.5091177591752165
3,102,0.0625,10.0,744.4487457420789,0.7492825858583981
3,102,0.0625,100.0,938.5959604745913,0.8413323308037375
3,102,0.125,1e-06,157.69396951464043,0.3448544072913026
3,102,0.125,1e-05,130.30479768834817,0.3134789916347521
3,102,0.125,0.0001,96.00085992287924,0.26907032269317177
3,102,0.125,0.001,96.59083865180034,0.26989584976861547
3,102,0.125,0.01,138.27371756252927,0.32292231525739834
3,102,0.125,0.1,177.49881840542173,0.36586930139798046
3,102,0.125,1.0,271.7997276726497,0.45274404489792597
3,102,0.125,10.0,637.1721913270567,0.6931969522260304
3,102,0.125,100.0,913.8412432738073,0.8301634628300346
3,102,0.25,1e-06,151.73743425216674,0.338278663511541
3,102,0.25,1e-05,145.94618194581165,0.3317604465965638
3,102,0.25,0.0001,121.69743399451883,0.30294859909098554
3,102,0.25,0.001,97.74155018149449,0.27149875930803585
3,102,0.25,0.01,115.88271086193937,0.2956225515039778
3,102,0.25,0.1,162.93551750795086,0.3505388197960035
3,102,0.25,1.0,229.76174502753238,0.41626231815646336
3,102,0.25,10.0,533.2122504032887,0.6341299965237159
3,102,0.25,100.0,878.0237712159777,0.8137319625032433
3,102,0.5,1e-06,146.22293531231153,0.3320748513092038
3,102,0.5,1e-05,145.50201725591222,0.3312552310476994
3,102,0.5,0.0001,139.7902991532647,0.3246883865817259
3,102,0.5,0.001,120.53406921000078,0.30149710559681747
3,102,0.5,0.01,111.5939215375638,0.290100520282969
3,102,0.5,0.1,148.6408832211202,0.334809194914561
3,102,0.5,1.0,210.15920780808312,0.3981094157945222
3,102,0.5,10.0,457.7618814533582,0.5875543564298515
3,102,0.5,100.0,839.5121184881481,0.7956860110123687
3,102,1.0,1e-06,154.05069526138948,0.3408474657645141
